0.45299256;0.418146979;0.45299256;0.494173702;0.543591072;0.60399008;0.67948884;0.776558675;0.679533279;0.639560733;0.604029581;0.572238551;0.543626623;0.604029581;0.679533279;0.776609462;0.724835498;0.679533279;0.604029581;0.572238551;0.543626623;0.517739641;0.494497608;0.472997712
Generationen: 10;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.6;RouletteWheel-S.;T-Size: ---;Reinsertion-Rate: 0.2;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
26;33000;33448;275;11;11;3;;;;;;;;;;;;;;;;;
31;32992;33258;166;9;12;6;;;;;;;;;;;;;;;;;
33;32752;33167;166;9;11;3;;;;;;;;;;;;;;;;;
85;32596;32967;161;12;10;4;;;;;;;;;;;;;;;;;
89;32554;32852;174;12;10;3;;;;;;;;;;;;;;;;;
98;32546;32695;109;10;10;4;;;;;;;;;;;;;;;;;
117;32539;32652;89;8;9;4;;;;;;;;;;;;;;;;;
120;32531;32627;82;7;9;4;;;;;;;;;;;;;;;;;
151;32518;32582;41;19;10;2;;;;;;;;;;;;;;;;;
222;32029;32547;150;13;12;2;;;;;;;;;;;;;;;;;
245;31867;32442;215;10;12;3;;;;;;;;;;;;;;;;;
324;31726;32073;147;13;12;1;;;;;;;;;;;;;;;;;
332;31391;31938;176;10;11;2;;;;;;;;;;;;;;;;;
443;31017;31778;406;11;9;3;;;;;;;;;;;;;;;;;
444;30899;31619;312;9;9;3;;;;;;;;;;;;;;;;;
573;30850;31190;189;6;6;2;;;;;;;;;;;;;;;;;
1432;30726;31014;124;6;5;2;;;;;;;;;;;;;;;;;
1442;30677;30932;131;5;5;2;;;;;;;;;;;;;;;;;
49999;30677;30830;76;3;4;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 16:48:36 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.5;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 5;Reinsertion-Rate: 0.5;Generation-Gap: 0.8;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;36110;37295;704;42;40;24;;;;;;;;;;;;;;;;;
3;35465;36949;697;34;38;17;;;;;;;;;;;;;;;;;
6;35318;36118;449;23;26;7;;;;;;;;;;;;;;;;;
9;35131;35716;335;36;22;8;;;;;;;;;;;;;;;;;
10;34513;35565;406;22;23;8;;;;;;;;;;;;;;;;;
11;34451;35246;376;18;21;8;;;;;;;;;;;;;;;;;
12;34218;34947;390;17;17;7;;;;;;;;;;;;;;;;;
20;34072;34596;254;10;13;5;;;;;;;;;;;;;;;;;
23;33991;34410;237;8;10;6;;;;;;;;;;;;;;;;;
24;33842;34324;246;8;9;5;;;;;;;;;;;;;;;;;
26;33761;34202;257;8;8;6;;;;;;;;;;;;;;;;;
32;33699;34109;248;6;7;5;;;;;;;;;;;;;;;;;
247;33692;33930;172;4;5;2;;;;;;;;;;;;;;;;;
49999;33692;33895;166;4;4;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 16:51:09 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.5;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 4;Reinsertion-Rate: 0.1;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
12;36013;37159;661;39;41;5;;;;;;;;;;;;;;;;;
17;34830;36745;658;40;39;4;;;;;;;;;;;;;;;;;
37;34466;35743;628;26;31;2;;;;;;;;;;;;;;;;;
41;33768;35356;681;25;25;4;;;;;;;;;;;;;;;;;
64;33605;34415;370;25;19;5;;;;;;;;;;;;;;;;;
65;33143;34266;457;16;20;7;;;;;;;;;;;;;;;;;
70;32987;33930;499;13;17;4;;;;;;;;;;;;;;;;;
84;32926;33590;472;13;14;10;;;;;;;;;;;;;;;;;
133;32770;33212;266;9;11;5;;;;;;;;;;;;;;;;;
480;32561;32915;125;8;7;2;;;;;;;;;;;;;;;;;
952;31959;32771;221;8;6;2;;;;;;;;;;;;;;;;;
1024;31774;32521;360;7;8;2;;;;;;;;;;;;;;;;;
1404;31699;31979;154;6;7;1;;;;;;;;;;;;;;;;;
1415;31678;31913;146;5;7;3;;;;;;;;;;;;;;;;;
2849;31662;31805;102;7;6;2;;;;;;;;;;;;;;;;;
9696;31399;31729;93;5;5;2;;;;;;;;;;;;;;;;;
9719;31345;31666;136;5;5;2;;;;;;;;;;;;;;;;;
49999;31345;31491;256;4;5;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 16:54:08 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.5;Mutation: Exchange;M-Rate: 0.2;Selection: Tournament;T-Size: 2;Reinsertion-Rate: 0.1;Generation-Gap: 0.2;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
4;35202;37258;1016;43;46;14;;;;;;;;;;;;;;;;;
14;35168;36391;856;42;42;5;;;;;;;;;;;;;;;;;
19;35049;35980;612;43;41;3;;;;;;;;;;;;;;;;;
27;34789;35570;443;42;41;3;;;;;;;;;;;;;;;;;
28;34634;35485;451;44;41;2;;;;;;;;;;;;;;;;;
29;34323;35412;530;39;42;4;;;;;;;;;;;;;;;;;
31;33558;35129;545;41;41;3;;;;;;;;;;;;;;;;;
50;33102;34485;617;31;34;3;;;;;;;;;;;;;;;;;
75;33004;34003;479;25;32;2;;;;;;;;;;;;;;;;;
77;32992;33794;511;23;31;2;;;;;;;;;;;;;;;;;
79;32795;33656;552;22;28;4;;;;;;;;;;;;;;;;;
80;32338;33527;560;17;25;3;;;;;;;;;;;;;;;;;
85;32332;33259;582;33;22;1;;;;;;;;;;;;;;;;;
88;32155;33100;553;29;20;2;;;;;;;;;;;;;;;;;
155;31531;32643;398;42;19;2;;;;;;;;;;;;;;;;;
180;31265;32312;438;18;23;3;;;;;;;;;;;;;;;;;
217;31131;31916;426;30;25;2;;;;;;;;;;;;;;;;;
244;30441;31575;412;28;25;3;;;;;;;;;;;;;;;;;
261;29618;31291;854;39;27;3;;;;;;;;;;;;;;;;;
273;29547;30849;635;33;31;2;;;;;;;;;;;;;;;;;
279;29258;30577;693;26;30;2;;;;;;;;;;;;;;;;;
320;28876;29737;450;19;21;2;;;;;;;;;;;;;;;;;
358;28665;29208;250;7;8;2;;;;;;;;;;;;;;;;;
11982;28431;28782;113;4;4;2;;;;;;;;;;;;;;;;;
49999;28431;28678;121;3;4;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 16:58:37 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.5;Generation-Gap: 0.5;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;34106;37108;1143;39;42;12;;;;;;;;;;;;;;;;;
4;33498;36216;1346;40;38;14;;;;;;;;;;;;;;;;;
8;32723;34484;808;35;29;7;;;;;;;;;;;;;;;;;
10;32370;33714;521;37;30;7;;;;;;;;;;;;;;;;;
18;31776;33236;1100;30;31;5;;;;;;;;;;;;;;;;;
19;31208;32683;734;29;30;11;;;;;;;;;;;;;;;;;
20;30909;32463;635;26;29;5;;;;;;;;;;;;;;;;;
51;30903;31126;148;15;12;4;;;;;;;;;;;;;;;;;
55;30825;31072;135;19;13;4;;;;;;;;;;;;;;;;;
57;30427;31081;347;24;17;4;;;;;;;;;;;;;;;;;
60;30248;30804;379;14;17;3;;;;;;;;;;;;;;;;;
61;30149;30781;565;22;19;3;;;;;;;;;;;;;;;;;
62;29825;30552;328;14;18;4;;;;;;;;;;;;;;;;;
66;29614;30234;246;13;16;4;;;;;;;;;;;;;;;;;
68;29446;30065;366;10;14;4;;;;;;;;;;;;;;;;;
72;29280;29752;279;8;11;3;;;;;;;;;;;;;;;;;
114;29255;29446;111;22;19;4;;;;;;;;;;;;;;;;;
116;29086;29399;120;19;20;4;;;;;;;;;;;;;;;;;
119;29075;29351;140;16;18;2;;;;;;;;;;;;;;;;;
128;28906;29302;204;27;17;4;;;;;;;;;;;;;;;;;
134;28718;29198;200;21;18;4;;;;;;;;;;;;;;;;;
135;28483;29117;257;18;18;4;;;;;;;;;;;;;;;;;
152;28200;28852;267;20;19;4;;;;;;;;;;;;;;;;;
317;28193;28490;176;10;10;2;;;;;;;;;;;;;;;;;
345;27610;28361;270;12;9;4;;;;;;;;;;;;;;;;;
349;27393;28154;301;8;8;3;;;;;;;;;;;;;;;;;
524;27324;27670;208;4;4;2;;;;;;;;;;;;;;;;;
12093;27299;27504;121;3;3;2;;;;;;;;;;;;;;;;;
49999;27299;27426;91;3;3;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 17:00:55 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 1.0;Mutation: Exchange;M-Rate: 1.0;Selection: Tournament;T-Size: 3;Reinsertion-Rate: 0.5;Generation-Gap: 0.5;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;34473;36027;678;44;44;20;;;;;;;;;;;;;;;;;
4;33919;35722;975;38;38;6;;;;;;;;;;;;;;;;;
9;33293;35140;1053;39;36;8;;;;;;;;;;;;;;;;;
12;32252;34614;1505;40;34;7;;;;;;;;;;;;;;;;;
18;31365;33348;1684;34;30;12;;;;;;;;;;;;;;;;;
19;30130;32775;1035;31;31;4;;;;;;;;;;;;;;;;;
21;29182;32348;1381;30;30;6;;;;;;;;;;;;;;;;;
24;28976;31808;2065;23;27;5;;;;;;;;;;;;;;;;;
30;28963;30325;1183;19;22;2;;;;;;;;;;;;;;;;;
64;28924;29129;135;8;8;3;;;;;;;;;;;;;;;;;
88;28870;29024;94;7;6;5;;;;;;;;;;;;;;;;;
91;28831;29006;115;5;6;4;;;;;;;;;;;;;;;;;
49999;28831;28958;123;4;5;2;;;;;;;;;;;;;;;;;
Sat Aug 04 08:00:00 CEST 2018;Sat Aug 04 17:04:01 CEST 2018;;;;;;;;;;;;;;;;;;;;;;
Generationen: 50000;Crossover: ox2;C-Rate: 0.8;Mutation: Exchange;M-Rate: 0.5;Selection: Tournament;T-Size: 5;Reinsertion-Rate: 0.5;Generation-Gap: 0.5;Selection-Pressure: 1.2;;;;;;;;;;;;;;
Iteration;total duration;avg. duration;standard deviation;avg.DiffrentCitiesofBest;avg.DiffrentCitiesofAll;calc. time;;;;;;;;;;;;;;;;;
2;33590;35939;1390;38;41;14;;;;;;;;;;;;;;;;;
19;33440;34123;328;13;15;5;;;;;;;;;;;;;;;;;
22;33122;33966;377;22;16;4;;;;;;;;;;;;;;;;;
23;32732;33897;499;23;17;5;;;;;;;;;;;;;;;;;
25;32575;33550;483;17;17;5;;;;;;;;;;;;;;;;;
56;32482;33122;358;12;14;4;;;;;;;;;;;;;;;;;
159;32400;32719;210;7;6;3;;;;;;;;;;;;;;;;;
201;32352;32628;171;6;6;2;;;;;;;;;;;;;;;;;
